X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-81.3777396,47.2464895,Timmins District,2018,Brook Trout,,,Beulah Lake 48 (Unofficial Name),17-4714-52324,BEULAH,Yearlings,1000,47.2464895,-81.3777396,12252
-81.2231866,47.159488,Timmins District,2018,Brook Trout,,,Lampman Lake 39 (Unofficial Name),17-4830-52227,LAMPMAN,Yearlings,1000,47.159488,-81.2231866,12253
-81.0552353,47.1733119,Timmins District,2018,Brook Trout,,,Outpost Lake (Unofficial Name),17-4958-52242,VALIN,Yearlings,1000,47.1733119,-81.0552353,12254
-81.9063917,47.8679936,Timmins District,2018,Brook Trout,,,Taylor Lake (Unofficial Name),17-4322-53018,WIGLE,Yearlings,1000,47.8679936,-81.9063917,12255
-81.2129326,47.6707247,Timmins District,2018,Brook Trout,,,Scotties Lake (Unofficial Name),17-4840-52795,KELVIN,Yearlings,1000,47.6707247,-81.2129326,12256
-81.3906703,47.2077528,Timmins District,2018,Brook Trout,,,Daniels 38 Lake (Unofficial Name),17-4704-52281,MARSHAY,Yearlings,500,47.2077528,-81.3906703,12257
-80.6536949,48.291501,Timmins District,2018,Brook Trout,,,McEvay Lake 18 (Unofficial Name),17-5255-53485,MCEVAY,Yearlings,350,48.291501,-80.6536949,12258
-81.3524739,47.8188444,Timmins District,2018,Brook Trout,,,Neezin Lake (Unofficial Name),17-4736-52960,BURROWS,Yearlings,250,47.8188444,-81.3524739,12259
-81.908277,47.97505,Timmins District,2018,Rainbow Trout,,,George Lake (Unofficial Name),17-4322-53137,REGAN,Yearlings,3000,47.97505,-81.908277,12302
-81.2589882,48.0890158,Timmins District,2018,Rainbow Trout,,,English Lake 10 (Unofficial Name),17-4807-53260,ENGLISH,Yearlings,1000,48.0890158,-81.2589882,12303
-81.8959592,47.7931631,Timmins District,2018,Rainbow Trout,,,Whalen Lake 39 (Unofficial Name),17-4329-52934,WHALEN,Yearlings,500,47.7931631,-81.8959592,12304
-82.0273048,48.2364826,Timmins District,2018,Splake,,,Reeves Lake 4 (Unofficial Name),17-4237-53431,REEVES,Yearlings,395,48.2364826,-82.0273048,12315
-81.7411562,48.5592503,Timmins District,2018,Splake,,,Cote Lake 3 (Barriers Lake) (Unofficial Name),17-4453-53785,COTE,Yearlings,1423,48.5592503,-81.7411562,12316
