Species,Official_Waterbody_Name,Number_of_Fish_Stocked,Latitude,Longitude
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,355,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1500,42.8551723,-79.5778563
Brown Trout,Grand River,2000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1055,42.8551723,-79.5778563
Brown Trout,Grand River,200,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,200,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,284,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1250,42.8551723,-79.5778563
Brown Trout,Grand River,1500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1200,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1300,42.8551723,-79.5778563
Brown Trout,Grand River,700,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,1084,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,700,42.8551723,-79.5778563
Brown Trout,Grand River,700,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,385,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,275,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,275,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,440,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1225,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,507,42.8551723,-79.5778563
Brown Trout,Grand River,800,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,650,42.8551723,-79.5778563
Brown Trout,Grand River,1500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,825,42.8551723,-79.5778563
Brown Trout,Grand River,250,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1319,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,850,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,546,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,225,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,1725,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,625,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,300,42.8551723,-79.5778563
Brown Trout,Grand River,494,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,585,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,675,42.8551723,-79.5778563
Brown Trout,Grand River,1050,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,1250,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,1104,42.8551723,-79.5778563
Brown Trout,Grand River,675,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,470,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,238,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,470,42.8551723,-79.5778563
Brown Trout,Grand River,490,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,725,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,485,42.8551723,-79.5778563
Brown Trout,Grand River,440,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,1300,42.8551723,-79.5778563
Brown Trout,Grand River,1326,42.8551723,-79.5778563
Brown Trout,Grand River,575,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,600,42.8551723,-79.5778563
Brown Trout,Grand River,800,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,10,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,2000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,999,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,400,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,541,42.8551723,-79.5778563
Brown Trout,Grand River,850,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,250,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,542,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,542,42.8551723,-79.5778563
Brown Trout,Grand River,569,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,550,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,750,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
Brown Trout,Grand River,1000,42.8551723,-79.5778563
Brown Trout,Grand River,500,42.8551723,-79.5778563
